supplier,nr,fabric_name,category,width_cm,year,roll_price_eur,cut_price_eur,sell_roll_price_eur,sell_cut_price_eur,status
DATEKS,1,STATUS,fabrics,295,2018,24.400000000000002,31.72,63.92800000000001,83.1064,išpardavimas
DATEKS,2,TITLE,fabrics,300,2018,19.52,25.376,51.1424,66.48512000000001,
DATEKS,3,RUBRIC,fabrics,300,2018,17.936000000000003,23.316800000000004,46.992320000000014,61.09001600000001,turime paletes
DATEKS,4,NOBLESSE,fabrics,291,2018,21.28,27.664000000000005,55.753600000000006,72.47968000000002,
DATEKS,5,CAPTION,fabrics,300,2018,17.936000000000003,23.316800000000004,46.992320000000014,61.09001600000001,
DATEKS,6,GLAMOUR,fabrics,305,2018,18.576,24.1488,48.66912000000001,63.269856000000004,
DATEKS,7,329189 SHEEP,fabrics,280,2018,15.808000000000002,19.808000000000003,41.41696,51.896960000000014,
DATEKS,8,INTO,fabrics,300,2024,16.8,21.36,44.016000000000005,55.9632,
DATEKS,9,JUPITER,fabrics,300,2020,12.272,15.953600000000002,32.152640000000005,41.798432000000005,
DATEKS,10,329200 HERRINGBONE (PIRKTI Į AUKŠTĮ),fabrics,280,2018,18.4295,23.079500000000003,48.28529,60.46829000000001,
DATEKS,11,MINGO / KNYGA BLANQUETTE,fabrics,305,2019,24.064,31.2832,63.04768,81.961984,
DATEKS,12,DRYLAND / KNYGA BLANQUETTE,fabrics,305,2019,27.568,35.8384,72.22816,93.896608,
DATEKS,14,DRAWSTRING / KNYGA BLANQUETTE,fabrics,300,2019,18.784000000000002,24.419200000000004,49.21408000000001,63.97830400000001,
DATEKS,15,BAVARIA / KNYGA BLANQUETTE,fabrics,304,2019,24.464,31.8032,64.09568,83.32438400000001,
DATEKS,16,QUICHE / KNYGA BLANQUETTE,fabrics,309,2019,16.512,21.465600000000002,43.26144,56.239872000000005,
DATEKS,17,329207 AGRA,fabrics,300,2020,32.016000000000005,36.816,83.88192000000002,96.45792000000002,
DATEKS,19,BELLA,fabrics,300,2024,16.8,21.36,44.016000000000005,55.9632,
DATEKS,20,NUOVA,fabrics,300,2019,24.589090909090906,27.048,64.42341818181818,70.86576,
DATEKS,23,GRACE,fabrics,300,2019,10.83,14.832,28.3746,38.859840000000005,
DATEKS,25,NIDA (KAIP SWEDEN,fabrics,300,2021,9.69,11.9,25.3878,31.178,
DATEKS,26,SWEDEN,fabrics,300,2019,9.84,13.536000000000001,25.7808,35.46432000000001,
DATEKS,27,OKYANUS,fabrics,300 DEPO,2021,7.2,8.288,18.864,21.714560000000002,
DATEKS,29,MADRAS,fabrics,300 DEPO,2019,6.75,7.97,17.685000000000002,20.8814,
DATEKS,31,MARYLAND (TEFLON),fabrics,280,2018,19.320000000000004,23.184000000000005,50.618400000000015,60.742080000000016,
DATEKS,32,ORIA SATEN,fabrics,300,2018,21.292727272727273,23.422,55.78694545454546,61.365640000000006,
DATEKS,33,SUNNY ASTAR,fabrics,290,2019,11.76,12.936,30.8112,33.89232,
DATEKS,35,DOUBLURE,fabrics,300,2019,6.14,7.97,16.0868,20.8814,
DATEKS,38,YUMOS,fabrics,305,2019,12.96,17.14,33.955200000000005,44.906800000000004,
DATEKS,39,TIMOR (TEFLON),fabrics,280,2018,16.72,19.776,43.8064,51.813120000000005,
DATEKS,40,340065 ELEGANCE,fabrics,140,2018,10.464,14.463999999999999,27.415680000000002,37.89568,
DATEKS,41,340066 TENDER*,fabrics,145,2018,11.856000000000002,15.840000000000002,31.062720000000006,41.500800000000005,
DATEKS,42,ABBY,fabrics,300,2019,6.75,8.24,17.685000000000002,21.588800000000003,
DATEKS,43,DT8198,fabrics,300,2018,5,6,13.100000000000001,15.72,
DATEKS,44,DT7653,fabrics,300 DEPO,2018,10.43,12.51,27.3266,32.7762,
DATEKS,45,ALINDA KETEN,fabrics,290,2018,7.75090909090909,8.526,20.307381818181817,22.33812,
DATEKS,46,SUNA,fabrics,300 DEPO,2018,6.65,7.98,17.423000000000002,20.907600000000002,
DATEKS,47,VILNUS - VIVA -2133,fabrics,295 DEPO,2018,4.949999999999999,5.939999999999999,12.969,15.562799999999998,
DATEKS,48,TINA ,fabrics,300 DEPO,2018,3.75,4.5,9.825000000000001,11.790000000000001,
DATEKS,50,DT7392,fabrics,300 DEPO,2018,7.18,8.61,18.8116,22.5582,
DATEKS,51,DT3822,fabrics,300 DEPO,2018,9.43,11.31,24.7066,29.6322,
DATEKS,52,VUAL  FT101  TERGAL    ,fabrics,320 DEPO,2018,2.95,3.55,7.729000000000001,9.301,
DATEKS,53,SEDA,fabrics,300 DEPO,2018,5.98,7.18,15.667600000000002,18.8116,
DATEKS,54,DT16705,fabrics,300 DEPO,2018,8.78,10.53,23.0036,27.5886,
DATEKS,56,VESTA  DIMOUT,fabrics,302,2018,13.52,17.576,35.4224,46.04912,
DATEKS,59,40010,fabrics,300,2022,2,4,5.24,10.48,
DATEKS,60,"30990 - DIRBA, KOL YRA LIKUČIAI",fabrics,320,2021,3.7,4.43,9.694,11.6066,
DATEKS,62,69218,fabrics,310,2021,17.12,18.72,44.854400000000005,49.0464,
DATEKS,63,69211  -  13865,fabrics,300,2021,23.200000000000003,24.8,60.78400000000001,64.976,
DATEKS,64,65553,fabrics,320 DEPO,2020,10.8,11.9,28.296000000000003,31.178,
DATEKS,65,N QUINN,fabrics,335,2021,4.800000000000001,5.5200000000000005,12.576000000000002,14.462400000000002,
DATEKS,66,MAYA,fabrics,340?,2021,4.800000000000001,5.5200000000000005,12.576000000000002,14.462400000000002,
DATEKS,67,DAISY,fabrics,340,2021,5.120000000000001,5.888000000000001,13.414400000000002,15.426560000000002,
DATEKS,68,17370,fabrics,320,2021,5.31,6.08,13.9122,15.9296,
DATEKS,69,ALMIRA,fabrics,290,2021,8.32,9.568000000000001,21.7984,25.068160000000006,
DATEKS,70,ALICE,fabrics,340?,2021,7.040000000000001,8.096000000000002,18.444800000000004,21.211520000000007,
DATEKS,71,65392,fabrics,300,2021,12.165999999999999,13.089999999999998,31.874919999999996,34.2958,
DATEKS,72,13330,fabrics,315 DEPO,2021,4.619999999999999,5.543999999999999,12.104399999999998,14.525279999999997,
DATEKS,73,65551,fabrics,320,2021,11.396,12.627999999999998,29.857520000000005,33.085359999999994,
DATEKS,74,30980 - IŠPARDAVIMAS,fabrics,315,2021,5.29,6.35,13.8598,16.637,
DATEKS,76,20910,fabrics,300 DEPO,2021,4.619999999999999,5.543999999999999,12.104399999999998,14.525279999999997,
DATEKS,78,16680 - IŠPARDAVIMAS,fabrics,320,2021,3.94,4.72,10.3228,12.3664,
DATEKS,79,20760,fabrics,320 DEPO,2021,5.775,6.930000000000001,15.130500000000001,18.1566,
DATEKS,80,30170  EGLUTE,fabrics,300 DEPO,2021,6.622,7.9464,17.34964,20.819568,
DATEKS,81,2100,fabrics,300 DEPO,2021,3.7199999999999998,4.455,9.7464,11.6721,
DATEKS,82,2101,fabrics,300/340 DEPO,2021,"2,97/3,63","3,57/4,35",,11.397,
DATEKS,85,2104 - IŠPARDAVIMAS,fabrics,300 DEPO,2021,4.43,5.32,11.6066,13.938400000000001,
DATEKS,87,2106,fabrics,300 DEPO,2021,3.96,4.755,10.3752,12.4581,
DATEKS,88,40960,fabrics,290,2021,4.55,5.46,11.921,14.305200000000001,
DATEKS,89,30050,fabrics,295,2021,3.82,4.58,10.0084,11.999600000000001,
DATEKS,90,2112,fabrics,300/340 DEPO,2021,"2,97/3,63","3,57/4,35",,11.397,
DATEKS,91,2113,fabrics,300 DEPO,2021,4.125,4.949999999999999,10.807500000000001,12.969,
DATEKS,92,2114 - IŠPARDAVIMAS,fabrics,320,2021,5.85,7.02,15.327,18.3924,
DATEKS,93,2110 - IŠPARDAVIMAS,fabrics,290 DEPO,2021,2.77,3.32,7.2574000000000005,8.6984,
DATEKS,94,HASIR DIMOUT,fabrics,300 DEPO,2021,14.69,20.16,38.4878,52.8192,
DATEKS,95,NOTTE,fabrics,280,2021,12.12,15.552000000000001,31.7544,40.74624000000001,
DATEKS,97,SUPPO,fabrics,320,2022,6.84,8.78,17.9208,23.0036,
DATEKS,98,65825,fabrics,320,2023,15.52,17.12,40.6624,44.854400000000005,
DATEKS,100,MIRAGE      ,fabrics,295,2023,24.436363636363637,26.880000000000003,64.02327272727273,70.4256,
DATEKS,101, ADVANCE,fabrics,142,2020,17.84,23.192000000000004,46.7408,60.76304000000001,
DATEKS,102, AHEAD,fabrics,142,2020,17.84,23.192000000000004,46.7408,60.76304000000001,
DATEKS,103,ANFI,fabrics,300,2020,5.6,6.16,14.671999999999999,16.139200000000002,
DATEKS,104,ALANYA,fabrics,300,2018,6.299999999999999,6.93,16.505999999999997,18.1566,
DATEKS,105,DT8572,fabrics,300 DEPO,2018,10.22,12.26,26.776400000000002,32.1212,
DATEKS,107,N1165 ,fabrics,295 DEPO,2018,5.28,6.112,13.8336,16.01344,
DATEKS,108,41421,fabrics,310,2022,7.840000000000001,9.120000000000001,20.540800000000004,23.894400000000005,
DATEKS,109,41400,fabrics,305,2022,4.800000000000001,5.920000000000001,12.576000000000002,15.510400000000002,
DATEKS,111,NAPOLITAN,fabrics,320,2018,18.995454545454542,20.895,49.7680909090909,54.7449,
DATEKS,112,329193 KNEE,fabrics,280,2018,16.416,20.400000000000002,43.00992,53.44800000000001,
DATEKS,113,329194 RIB,fabrics,280,2018,14.64,18.400000000000002,38.3568,48.208000000000006,
DATEKS,114,JUNO DIMOUT,fabrics,302,2018,21.28,27.664000000000005,55.753600000000006,72.47968000000002,
DATEKS,115,ERIS DIMOUT,fabrics,302,2018,21.28,27.664000000000005,55.753600000000006,72.47968000000002,
DATEKS,116,ANTARES DIMOUT,fabrics,302,2018,21.28,27.664000000000005,55.753600000000006,72.47968000000002,
DATEKS,117,PERM DIMOUT/ NOVA BL.,fabrics,280,2019,16.48,19.36,43.177600000000005,50.7232,
DATEKS,118,69271,fabrics,300,2024,12.48,14.080000000000002,32.6976,36.88960000000001,
DATEKS,119,41397,fabrics,310,2022,5.1,6.32,13.362,16.558400000000002,
DATEKS,120,PETRA DIMOUT,fabrics,315,2020,15.3,17.9,40.086000000000006,46.897999999999996,
DATEKS,121,69272,fabrics,300,2024,12.48,14.080000000000002,32.6976,36.88960000000001,
DATEKS,122,OVERNIGHT QUIET STARGAZER SUBSOLAR / NIGHT OWL,fabrics,150,2019,12.272,15.953600000000002,32.152640000000005,41.798432000000005,
DATEKS,123,65390,fabrics,320,2021,11.549999999999999,12.782,30.261,33.48884,
DATEKS,124,69231,fabrics,310,2024,20.480000000000004,22.560000000000002,53.65760000000001,59.107200000000006,
DATEKS,128,F-DELUX VUAL,fabrics,300,2021,7.5,9,19.650000000000002,23.580000000000002,
DATEKS,129,69225,fabrics,310,2021,17.401999999999997,18.325999999999997,45.593239999999994,48.01411999999999,
DATEKS,130,69221,fabrics,310,2021,17.401999999999997,18.325999999999997,45.593239999999994,48.01411999999999,
DATEKS,133,69223,fabrics,310,2021,17.401999999999997,18.325999999999997,45.593239999999994,48.01411999999999,
DATEKS,134,69212,fabrics,300,2021,22.33,23.87,58.504599999999996,62.53940000000001,
DATEKS,135,69217,fabrics,300,2021,22.33,23.87,58.504599999999996,62.53940000000001,
DATEKS,136,69214,fabrics,300,2021,22.33,23.87,58.504599999999996,62.53940000000001,
DATEKS,137,69216,fabrics,300,2021,22.33,23.87,58.504599999999996,62.53940000000001,
DATEKS,139,HELEN,fabrics,280,2021,13.680000000000001,17.568,35.84160000000001,46.02816000000001,
DATEKS,140,ZIRH,fabrics,290,2021,7.2,8.288,18.864,21.714560000000002,
DATEKS,141,41390,fabrics,310,2022,4.65,5.6000000000000005,12.183000000000002,14.672000000000002,
DATEKS,142,41405,fabrics,310,2022,5.120000000000001,5.920000000000001,13.414400000000002,15.510400000000002,
DATEKS,143,41423,fabrics,310,2022,6.1499999999999995,7.2,16.113,18.864,
DATEKS,144,41425,fabrics,300,2022,5.699999999999999,6.720000000000001,14.934,17.6064,
DATEKS,145,FON DANIELA,fabrics,320,2021,10.4,11.968000000000002,27.248,31.356160000000006,
DATEKS,146,FON JULIA,fabrics,320,2021,11.4,13.9,29.868000000000002,36.418,
DATEKS,148,41395,fabrics,305,2022,4.050000000000001,4.960000000000001,10.611000000000002,12.995200000000002,
DATEKS,149,28880,fabrics,300,2022,2,4,5.24,10.48,
