supplier,catalog_nr,design,category,width_cm,roll_price_eur,coupon_price_eur,sell_price_eur
DATEKS,81,2100,fabrics,300,3.6,4.32,11.3184
DATEKS,82,2101,fabrics,300,2.8800000000000003,3.4560000000000004,9.054720000000001
DATEKS,83,2102,fabrics,330,7.840000000000001,9.408,24.64896
DATEKS,84,2103,fabrics,300,10.88,13.056000000000001,34.206720000000004
DATEKS,85,2104,fabrics,300,5.760000000000001,6.912000000000001,18.109440000000003
DATEKS,86,2105,fabrics,300,5.760000000000001,6.912000000000001,18.109440000000003
DATEKS,87,2106,fabrics,300,3.84,4.608,12.07296
DATEKS,749,2107,fabrics,300,4.800000000000001,5.760000000000001,15.091200000000002
DATEKS,805,2108,fabrics,300,4.800000000000001,5.760000000000001,15.091200000000002
DATEKS,815,2109,fabrics,300,5.44,6.5280000000000005,17.103360000000002
DATEKS,93,2110,fabrics,290,3.6,4.32,11.3184
DATEKS,818,2111,fabrics,300,4.800000000000001,5.760000000000001,15.091200000000002
DATEKS,90,2112,fabrics,300,2.8800000000000003,3.4560000000000004,9.054720000000001
DATEKS,91,2113,fabrics,300,4.0,4.800000000000001,12.576000000000002
DATEKS,92,2114,fabrics,320,7.6000000000000005,9.120000000000001,23.894400000000005
DATEKS,150,2200,fabrics,300,4.800000000000001,5.76,15.0912
DATEKS,151,2201,fabrics,315,6.4,7.68,20.1216
DATEKS,153,2202,fabrics,320,4.64,5.5680000000000005,14.588160000000002
DATEKS,158,2203,fabrics,310,8.24,9.888,25.906560000000002
DATEKS,154,2204,fabrics,300,4.16,4.992000000000001,13.079040000000003
DATEKS,152,2205,fabrics,310,6.4,7.68,20.1216
DATEKS,155,2206,fabrics,300,4.800000000000001,5.760000000000001,15.091200000000002
DATEKS,159,2207,fabrics,315,5.28,6.336,16.60032
DATEKS,160,2208,fabrics,320,5.44,6.5280000000000005,17.103360000000002
DATEKS,156,2209,fabrics,300,6.24,7.4879999999999995,19.61856
DATEKS,323,2212,fabrics,320,13.6,14.4,37.728
DATEKS,157,2215,fabrics,300,4.0,4.800000000000001,12.576000000000002
DATEKS,364,2782,fabrics,300 TIKRAI,13.92,16.704,43.764480000000006
DATEKS,359,3044,fabrics,295,15.36,18.432,48.29184
DATEKS,1530,3985,fabrics,300,8.3,9.9,25.938000000000002
DATEKS,366,6064,fabrics,300,15.8,18.9,49.518
DATEKS,1524,7396,fabrics,300,11.55,13.9,36.418
DATEKS,678,8547,fabrics,300,10.240000000000002,12.288,32.19456
DATEKS,369,10211,fabrics,300,14.7,17.6,46.11200000000001
DATEKS,368,10333,fabrics,300,14.7,17.6,46.11200000000001
DATEKS,370,10385,fabrics,300,14.7,17.6,46.11200000000001
DATEKS,371,10448,fabrics,300,14.7,17.6,46.11200000000001
DATEKS,690,10473,fabrics,300,10.9,12.9,33.798
DATEKS,693,10910,fabrics,300,7.6,8.9,23.318
DATEKS,691,10914,fabrics,300,9.3,10.9,28.558000000000003
DATEKS,692,10915,fabrics,300,11.2,13.4,35.108000000000004
DATEKS,859,11038,fabrics,300,7.45,8.9,23.318
DATEKS,372,11154,fabrics,300,14.0,16.8,44.016000000000005
DATEKS,341,11184,fabrics,300,15.450000000000001,18.54,48.574799999999996
DATEKS,373,11256,fabrics,300,14.0,16.8,44.016000000000005
DATEKS,375,11460,fabrics,300,14.0,16.8,44.016000000000005
DATEKS,367,12425,fabrics,300,15.600000000000001,18.72,49.0464
DATEKS,1106,12948,fabrics,140,33.599999999999994,40.349999999999994,105.71699999999998
DATEKS,1096,13194,fabrics,140,28.799999999999997,34.650000000000006,90.78300000000002
DATEKS,72,13330,fabrics,315,4.5,5.3999999999999995,14.148
DATEKS,1105,13422,fabrics,140,37.8,48.300000000000004,126.54600000000002
DATEKS,405,14426,fabrics,300,15.200000000000001,18.240000000000002,47.78880000000001
DATEKS,1113,14528,fabrics,140,30.75,36.900000000000006,96.67800000000003
DATEKS,346,14632,fabrics,295,26.400000000000002,31.680000000000003,83.00160000000001
DATEKS,78,16680,fabrics,320,5.120000000000001,6.144000000000001,16.097280000000005
DATEKS,68,17370,fabrics,320,6.9,7.9,20.698
DATEKS,79,20760,fabrics,320,5.775,6.930000000000001,18.1566
DATEKS,76,20910,fabrics,300,4.5,5.3999999999999995,14.148
DATEKS,75,25450,fabrics,325,5.775,6.930000000000001,18.1566
DATEKS,58,27410,fabrics,310,5.6000000000000005,6.720000000000001,17.6064
DATEKS,149,28880,fabrics,300,2.0,4.0,10.48
DATEKS,382,29120,fabrics,305 ROLL,12.32,0.0,0.0
DATEKS,61,29690,fabrics,305,4.800000000000001,5.760000000000001,15.091200000000002
DATEKS,89,30050,fabrics,295,4.960000000000001,5.952000000000001,15.594240000000003
DATEKS,74,30980,fabrics,315,6.88,8.256,21.63072
DATEKS,60,30990,fabrics,320,4.800000000000001,5.760000000000001,15.091200000000002
DATEKS,1534,33306,fabrics,300,18.304,21.968000000000004,57.55616000000001
DATEKS,1539,33307,fabrics,300,18.304,21.968000000000004,57.55616000000001
