supplier,brand_collection,collection_code,pattern_nr,product_code,product_name,type_size,wholesale_price_eur,category
EUROFIRANY,CLASSIC,K,221.0,411164.0,4016/ZAS/B,320/1390,14.37,fabrics
EUROFIRANY,CLASSIC,K,221.0,411220.0,4016/ZAS/PLAT,320/1420,14.37,fabrics
EUROFIRANY,CLASSIC,K,221.0,411206.0,4016/ZAS/BEŻ,320/1393,14.37,fabrics
EUROFIRANY,CLASSIC,K,221.0,411208.0,4016/ZAS/CAPU,320/1397,14.37,fabrics
EUROFIRANY,CLASSIC,K,221.0,411205.0,4016/ZAS/K,320/1391,14.37,fabrics
EUROFIRANY,CLASSIC,K,221.0,411207.0,4016/ZAS/LATT,320/1394,14.37,fabrics
EUROFIRANY,CLASSIC,K,221.0,411213.0,4016/ZAS/WRZO,320/1406,14.37,fabrics
EUROFIRANY,CLASSIC,K,221.0,411210.0,4016/ZAS/KAWA,320/1403,14.37,fabrics
EUROFIRANY,CLASSIC,K,221.0,411212.0,4016/ZAS/BRĄZ,320/1404,14.37,fabrics
EUROFIRANY,CLASSIC,K,221.0,416210.0,4016/ZAS/ZIEL,320/1413,14.37,fabrics
EUROFIRANY,CLASSIC,K,221.0,411214.0,4016/ZAS/MIĘT,320/1412,14.37,fabrics
EUROFIRANY,CLASSIC,K,221.0,411219.0,4016/ZAS/STAL,320/1419,14.37,fabrics
EUROFIRANY,CLASSIC,K,221.0,411215.0,4016/ZAS/DŻIN,320/1416,14.37,fabrics
EUROFIRANY,CLASSIC,K,221.0,416211.0,4016/ZAS/NIEB,320/1417,14.37,fabrics
EUROFIRANY,CLASSIC,K,221.0,411216.0,4016/ZAS/C.NIE,320/1418,14.37,fabrics
EUROFIRANY,CLASSIC,K,221.0,411224.0,4016/ZAS/CZAR,320/1423,14.37,fabrics
EUROFIRANY,CLASSIC,K,221.0,411222.0,4016/ZAS/GRAF,320/1422,14.37,fabrics
EUROFIRANY,CLASSIC,K,221.0,416212.0,4016/ZAS/POPI,320/1421,14.37,fabrics
EUROFIRANY,HOME,H,202.0,384605.0,DANTE/ZAS/NATU,300/V1,17.37,fabrics
EUROFIRANY,HOME,H,202.0,384607.0,DANTE/ZAS/K,300/V2,17.37,fabrics
EUROFIRANY,HOME,H,202.0,384608.0,DANTE/ZAS/BEŻ,300/V4,17.37,fabrics
EUROFIRANY,HOME,H,202.0,384609.0,DANTE/ZAS/SREB,300/V5,17.37,fabrics
EUROFIRANY,HOME,H,202.0,384610.0,DANTE/ZAS/CAPU,300/V6,17.37,fabrics
EUROFIRANY,HOME,H,202.0,384611.0,DANTE/ZAS/MIÓD,300/V8,17.37,fabrics
EUROFIRANY,HOME,H,202.0,384612.0,DANTE/ZAS/ŚLIW,300/V13,17.37,fabrics
EUROFIRANY,HOME,H,202.0,384613.0,DANTE/ZAS/GRAN,300/V15,17.37,fabrics
EUROFIRANY,HOME,H,202.0,384614.0,DANTE/ZAS/NIEB,300/V16,17.37,fabrics
EUROFIRANY,HOME,H,202.0,384615.0,DANTE/ZAS/TURK,300/V17,17.37,fabrics
EUROFIRANY,HOME,H,202.0,384616.0,DANTE/ZAS/ZIEL,300/V18,17.37,fabrics
EUROFIRANY,HOME,H,202.0,384617.0,DANTE/ZAS/J.BRĄZ,300/V19,17.37,fabrics
EUROFIRANY,HOME,H,202.0,384618.0,DANTE/ZAS/BRĄZ,300/V20,17.37,fabrics
EUROFIRANY,HOME,H,202.0,384619.0,DANTE/ZAS/POPI,300/V21,17.37,fabrics
EUROFIRANY,HOME,H,202.0,384620.0,DANTE/ZAS/GRAF,300/V22,17.37,fabrics
EUROFIRANY,HOME,H,157.0,94292.0,TAPALUZ1/ZAS/SRE,295/5001 DIM FR,31.5,fabrics
EUROFIRANY,HOME,H,157.0,94273.0,TAPALUZ1/ZAS/BEŻ,295/5021 DIM FR,31.5,fabrics
EUROFIRANY,HOME,H,157.0,94294.0,TAPALUZ1/ZAS/SZA,295/5020 DIM FR,31.5,fabrics
EUROFIRANY,HOME,H,157.0,94293.0,TAPALUZ1/ZAS/STA,295/5023 DIM FR,31.5,fabrics
EUROFIRANY,HOME,H,157.0,94282.0,TAPALUZ1/ZAS/GRF,295/5012 DIM FR,31.5,fabrics
EUROFIRANY,HOME,H,157.0,94285.0,TAPALUZ1/ZAS/KRE,295/5002 DIM FR,31.5,fabrics
EUROFIRANY,HOME,H,157.0,94276.0,TAPALUZ1/ZAS/CAP,295/5004 DIM FR,31.5,fabrics
EUROFIRANY,HOME,H,157.0,94277.0,TAPALUZ1/ZAS/CBE,295/5003 DIM FR,31.5,fabrics
EUROFIRANY,HOME,H,157.0,94283.0,TAPALUZ1/ZAS/JBR,295/5022 DIM FR,31.5,fabrics
EUROFIRANY,HOME,H,157.0,94284.0,TAPALUZ1/ZAS/KAW,295/5008 DIM FR,31.5,fabrics
EUROFIRANY,HOME,H,157.0,94290.0,TAPALUZ1/ZAS/OLI,295/5019 DIM FR,31.5,fabrics
EUROFIRANY,HOME,H,157.0,94275.0,TAPALUZ1/ZAS/BRĄ,295/5005 DIM FR,31.5,fabrics
