article,name,collection,width_cm,composition,price_eur,direction,vert_repeat,horiz_repeat
9751661-01,orama anthracite,HANGER ORAMA,300,59%cot 41%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9751618-01,orama grey,HANGER ORAMA,300,59%cot 41%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9751619-01,orama sand,HANGER ORAMA,300,59%cot 41%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9751664-01,orama l.grey,HANGER ORAMA,300,59%cot 41%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9751611-01,orama natur,HANGER ORAMA,300,59%cot 41%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9751612-01,orama beige,HANGER ORAMA,300,59%cot 41%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9751617-01,orama chocolate,HANGER ORAMA,300,59%cot 41%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9751683-01,orama l.taupe,HANGER ORAMA,300,59%cot 41%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
8102211-05,sweetness natur-powder,HANGER SWEETNESS,315,100%pol,20.00,woven railroaded,vert.repeat 10cm-4",horiz.repeat 8cm-3"
8102211-04,sweetness natur-mint,HANGER SWEETNESS,315,100%pol,20.00,woven railroaded,vert.repeat 10cm-4",horiz.repeat 8cm-3"
8102211-03,sweetness natur-grey,HANGER SWEETNESS,315,100%pol,20.00,woven railroaded,vert.repeat 10cm-4",horiz.repeat 8cm-3"
8102211-02,sweetness natur,HANGER SWEETNESS,315,100%pol,20.00,woven railroaded,vert.repeat 10cm-4",horiz.repeat 8cm-3"
5281218-01,history grey,WATERFALL HISTORY,315,70%pol 30%lin,25.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5281264-01,history l.grey,WATERFALL HISTORY,315,70%pol 30%lin,25.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5281210-01,history white,WATERFALL HISTORY,315,70%pol 30%lin,25.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5281211-01,history natur,WATERFALL HISTORY,315,70%pol 30%lin,25.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5281272-01,history ecru,WATERFALL HISTORY,315,70%pol 30%lin,25.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5281212-01,history beige,WATERFALL HISTORY,315,70%pol 30%lin,25.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5281219-01,history sand,WATERFALL HISTORY,315,70%pol 30%lin,25.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5281283-01,history l.taupe,WATERFALL HISTORY,315,70%pol 30%lin,25.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5281236-01,history olive,WATERFALL HISTORY,315,70%pol 30%lin,25.00,woven railroaded,vert.repeat 0,horiz.repeat 0
6394611-01,montana natur,HANGER MONTANA,310,62%pan 38%pol,22.00,woven railroaded,vert.repeat 0,horiz.repeat 0
6394612-01,montana beige,HANGER MONTANA,310,62%pan 38%pol,22.00,woven railroaded,vert.repeat 0,horiz.repeat 0
6394664-01,montana l.grey,HANGER MONTANA,310,62%pan 38%pol,22.00,woven railroaded,vert.repeat 0,horiz.repeat 0
6394629-01,montana l.blue,HANGER MONTANA,310,62%pan 38%pol,22.00,woven railroaded,vert.repeat 0,horiz.repeat 0
6394621-01,montana blue,HANGER MONTANA,310,62%pan 38%pol,22.00,woven railroaded,vert.repeat 0,horiz.repeat 0
6394668-01,montana elephant,HANGER MONTANA,310,62%pan 38%pol,22.00,woven railroaded,vert.repeat 0,horiz.repeat 0
6394658-01,montana ancient pink,HANGER MONTANA,310,62%pan 38%pol,22.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5307861-01,estrada anthracite,HANGER ESTRADA,320,100%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5307883-01,estrada l.taupe,HANGER ESTRADA,320,100%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5307822-01,estrada powder,HANGER ESTRADA,320,100%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5307825-01,estrada l.pink,HANGER ESTRADA,320,100%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5307888-01,estrada blue-grey,HANGER ESTRADA,320,100%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5307864-01,estrada l.grey,HANGER ESTRADA,320,100%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5307837-01,estrada ice,HANGER ESTRADA,320,100%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5307836-01,estrada olive,HANGER ESTRADA,320,100%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3804612-01,smile beige,WATERFALL SMILE & ADMIRE,320,100%pol,14.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3804670-01,smile off white,WATERFALL SMILE & ADMIRE,320,100%pol,14.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3804664-01,smile l.grey,WATERFALL SMILE & ADMIRE,320,100%pol,14.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3804620-01,smile taupe,WATERFALL SMILE & ADMIRE,320,100%pol,14.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3804665-01,smile wenge,WATERFALL SMILE & ADMIRE,320,100%pol,14.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3804611-01,smile natur,WATERFALL SMILE & ADMIRE,320,100%pol,14.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3807922-01,admire powder,WATERFALL SMILE & ADMIRE,320,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3807970-01,admire off white,WATERFALL SMILE & ADMIRE,320,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3807911-01,admire natur,WATERFALL SMILE & ADMIRE,320,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3807983-01,admire l.taupe,WATERFALL SMILE & ADMIRE,320,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3807964-01,admire l.grey,WATERFALL SMILE & ADMIRE,320,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3807937-01,admire ice,WATERFALL SMILE & ADMIRE,320,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3807918-01,admire grey,WATERFALL SMILE & ADMIRE,320,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3807917-01,admire chocolate,WATERFALL SMILE & ADMIRE,320,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
