supplier,product_group,subcategory,product_name,color,product_code,unit,purchase_price_eur
IKS FORMA,19mm Karnizai,Lazdos,Lazda 1.60m,Sendinto aukso,190-1-16-SA,VNT,3.52
IKS FORMA,19mm Karnizai,Lazdos,Lazda 1.60m,Matinio sidabro,190-1-16-MS,VNT,3.52
IKS FORMA,19mm Karnizai,Lazdos,Lazda 1.60m,Balto aukso,190-1-16-BA,VNT,7.04
IKS FORMA,19mm Karnizai,Lazdos,Lazda 1.60m,Baltos,190-1-16-B,VNT,3.85
IKS FORMA,19mm Karnizai,Lazdos,Lazda 1.60m,Blizgaus chromo,190-1-16-BC,VNT,3.85
IKS FORMA,19mm Karnizai,Lazdos,Lazda 1.60m,Matinio aukso,190-1-16-MA,VNT,7.04
IKS FORMA,19mm Karnizai,Lazdos,Lazda 1.60m,Juodos,190-1-16-J,VNT,3.85
IKS FORMA,19mm Karnizai,Lazdos,Lazda 1.60m,Antikinės bronzos,190-1-16-AB,VNT,7.04
IKS FORMA,19mm Karnizai,Lazdos,Lazda 1.60m,Blizgaus aukso,190-1-16-BLA,VNT,3.85
IKS FORMA,19mm Karnizai,Lazdos,Lazda 2.00m,Sendinto aukso,190-1-20-SA,VNT,4.46
IKS FORMA,19mm Karnizai,Lazdos,Lazda 2.00m,Matinio sidabro,190-1-20-MS,VNT,4.46
IKS FORMA,19mm Karnizai,Lazdos,Lazda 2.00m,Balto aukso,190-1-20-BA,VNT,8.91
IKS FORMA,19mm Karnizai,Lazdos,Lazda 2.00m,Baltos,190-1-20-B,VNT,4.51
IKS FORMA,19mm Karnizai,Lazdos,Lazda 2.00m,Blizgaus chromo,190-1-20-BC,VNT,4.51
IKS FORMA,19mm Karnizai,Lazdos,Lazda 2.00m,Matinio aukso,190-1-20-MA,VNT,8.91
IKS FORMA,19mm Karnizai,Lazdos,Lazda 2.00m,Juodos,190-1-20-J,VNT,4.51
IKS FORMA,19mm Karnizai,Lazdos,Lazda 2.00m,Antikinės bronzos,190-1-20-AB,VNT,8.91
IKS FORMA,19mm Karnizai,Lazdos,Lazda 2.00m,Blizgaus aukso,190-1-20-BLA,VNT,4.51
IKS FORMA,19mm Karnizai,Lazdos,Lazda 2.40m,Sendinto aukso,190-1-24-SA,VNT,5.28
IKS FORMA,19mm Karnizai,Lazdos,Lazda 2.40m,Matinio sidabro,190-1-24-MS,VNT,5.28
IKS FORMA,19mm Karnizai,Lazdos,Lazda 2.40m,Baltos,190-1-24-B,VNT,5.5
IKS FORMA,19mm Karnizai,Lazdos,Lazda 2.40m,Blizgaus chromo,190-1-24-BC,VNT,5.5
IKS FORMA,19mm Karnizai,Lazdos,Lazda 2.40m,Matinio aukso,190-1-24-MA,VNT,10.45
IKS FORMA,19mm Karnizai,Lazdos,Lazda 2.40m,Juodos,190-1-24-J,VNT,5.5
IKS FORMA,19mm Karnizai,Lazdos,Lazda 2.40m,Antikinės bronzos,190-1-24-AB,VNT,10.45
IKS FORMA,19mm Karnizai,Lazdos,Lazda 2.40m,Blizgaus aukso,190-1-24-BLA,VNT,5.5
IKS FORMA,19mm Karnizai,Lazdos,Lazda 2.60m,Balto aukso,190-1-26-BA,VNT,10.56
IKS FORMA,19mm Karnizai,Lazdos,Lazda 3.00m,Sendinto aukso,190-1-30-SA,VNT,6.71
IKS FORMA,19mm Karnizai,Lazdos,Lazda 3.00m,Matinio sidabro,190-1-30-MS,VNT,6.71
IKS FORMA,19mm Karnizai,Lazdos,Lazda 3.00m,Baltos,190-1-30-B,VNT,7.04
IKS FORMA,19mm Karnizai,Lazdos,Lazda 3.00m,Blizgaus chromo,190-1-30-BC,VNT,7.04
IKS FORMA,19mm Karnizai,Lazdos,Lazda 3.00m,Matinio aukso,190-1-30-MA,VNT,12.21
IKS FORMA,19mm Karnizai,Lazdos,Lazda 3.00m,Juodos,190-1-30-J,VNT,7.04
IKS FORMA,19mm Karnizai,Lazdos,Lazda 3.00m,Antikinės bronzos,190-1-30-AB,VNT,12.21
IKS FORMA,19mm Karnizai,Lazdos,Lazda 3.00m,Blizgaus aukso,190-1-30-BLA,VNT,7.04
IKS FORMA,19mm Karnizai,Rifliuotos lazdos,Rifliuota lazda 1.60m,Sendinto aukso,190-5-16-SA,VNT,3.85
IKS FORMA,19mm Karnizai,Rifliuotos lazdos,Rifliuota lazda 1.60m,Matinio sidabro,190-5-16-MS,VNT,3.85
IKS FORMA,19mm Karnizai,Rifliuotos lazdos,Rifliuota lazda 2.00m,Sendinto aukso,190-5-20-SA,VNT,4.78
IKS FORMA,19mm Karnizai,Rifliuotos lazdos,Rifliuota lazda 2.00m,Matinio sidabro,190-5-20-MS,VNT,4.78
IKS FORMA,19mm Karnizai,Rifliuotos lazdos,Rifliuota lazda 2.40m,Sendinto aukso,190-5-24-SA,VNT,5.72
IKS FORMA,19mm Karnizai,Rifliuotos lazdos,Rifliuota lazda 2.40m,Matinio sidabro,190-5-24-MS,VNT,5.72
IKS FORMA,19mm Karnizai,Rifliuotos lazdos,Rifliuota lazda 3.00m,Sendinto aukso,190-5-24-SA,VNT,7.64
IKS FORMA,19mm Karnizai,Rifliuotos lazdos,Rifliuota lazda 3.00m,Matinio sidabro,190-5-24-MS,VNT,7.64
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 1.6m,Sendinto aukso,190-3-16-SA,VNT,7.81
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 1.6m,Matinio sidabro,190-3-16-MS,VNT,7.81
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 1.6m,Balto aukso,190-3-16-BA,VNT,10.23
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 1.6m,Baltos,190-3-16-B,VNT,10.23
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 1.6m,Blizgaus aukso,190-3-16-BLA,VNT,10.23
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 1.6m,Matinio aukso,190-3-16-MA,VNT,10.23
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 1.6m,Blizgaus chromo,190-3-16-BC,VNT,10.23
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 1.6m,Juodos,190-3-16-J,VNT,10.23
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 1.6m,Antikinės bronzos,190-3-16-AB,VNT,10.23
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 2.0m,Sendinto aukso,190-3-20-SA,VNT,9.68
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 2.0m,Matinio sidabro,190-3-20-MS,VNT,9.68
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 2.0m,Balto aukso,190-3-20-BA,VNT,12.76
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 2.0m,Baltos,190-3-20-B,VNT,12.76
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 2.0m,Blizgaus aukso,190-3-20-BLA,VNT,12.76
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 2.0m,Matinio aukso,190-3-20-MA,VNT,12.76
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 2.0m,Blizgaus chromo,190-3-20-BC,VNT,12.76
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 2.0m,Juodos,190-3-20-J,VNT,12.76
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 2.0m,Antikinės bronzos,190-3-20-AB,VNT,12.76
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 2.4m,Sendinto aukso,190-3-24-SA,VNT,11.66
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 2.4m,Matinio sidabro,190-3-24-MS,VNT,11.66
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 2.4m,Balto aukso,190-3-24-BA,VNT,15.4
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 2.4m,Baltos,190-3-24-B,VNT,15.4
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 2.4m,Blizgaus aukso,190-3-24-BLA,VNT,15.4
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 2.4m,Matinio aukso,190-3-24-MA,VNT,15.4
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 2.4m,Blizgaus chromo,190-3-24-BC,VNT,15.4
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 2.4m,Juodos,190-3-24-J,VNT,15.4
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 2.4m,Antikinės bronzos,190-3-24-AB,VNT,15.4
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 3.2m,Sendinto aukso,190-3-32-SA,VNT,15.51
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 3.2m,Matinio sidabro,190-3-32-MS,VNT,15.51
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 3.2m,Balto aukso,190-3-32-BA,VNT,20.46
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 3.2m,Baltos,190-3-32-B,VNT,20.46
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 3.2m,Blizgaus aukso,190-3-32-BLA,VNT,20.46
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 3.2m,Matinio aukso,190-3-32-MA,VNT,20.46
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 3.2m,Blizgaus chromo,190-3-32-BC,VNT,20.46
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 3.2m,Juodos,190-3-32-J,VNT,20.46
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 3.2m,Antikinės bronzos,190-3-32-AB,VNT,20.46
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 4.0m,Sendinto aukso,190-3-40-SA,VNT,19.36
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 4.0m,Matinio sidabro,190-3-40-MS,VNT,19.36
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 4.0m,Balto aukso,190-3-40-BA,VNT,25.52
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 4.0m,Baltos,190-3-40-B,VNT,25.52
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 4.0m,Blizgaus aukso,190-3-40-BLA,VNT,25.52
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 4.0m,Matinio aukso,190-3-40-MA,VNT,25.52
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 4.0m,Blizgaus chromo,190-3-40-BC,VNT,25.52
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 4.0m,Juodos,190-3-40-J,VNT,25.52
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 4.0m,Antikinės bronzos,190-3-40-AB,VNT,25.52
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 5.6m,Baltos,190-3-56-B,VNT,35.79
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 5.6m,Juodos,190-3-56-J,VNT,35.79
IKS FORMA,19mm Karnizai,Bėgeliai,Bėgelis 5.8m,Baltos,190-3-58-B,VNT,37.07
