article,name,collection,width_cm,composition,cut_price_eur,direction,vert_repeat,horiz_repeat,weight_kg_mt,comments
6301670-02,home off white,WATERFALL HOME,305,100%pol,13.80,woven railroaded,vert.repeat 0,horiz.repeat 0,0.1330,LB - eurohem
6301610-01,home white,WATERFALL HOME,305,100%pol,13.80,woven railroaded,vert.repeat 0,horiz.repeat 0,0.1330,LB - eurohem
6301664-01,home l.grey,WATERFALL HOME,305,100%pol,13.80,woven railroaded,vert.repeat 0,horiz.repeat 0,0.1330,LB - eurohem
6301672-01,home ecru,WATERFALL HOME,305,100%pol,13.80,woven railroaded,vert.repeat 0,horiz.repeat 0,0.1330,LB - eurohem
6301611-01,home natur,WATERFALL HOME,305,100%pol,13.80,woven railroaded,vert.repeat 0,horiz.repeat 0,0.1330,LB - eurohem
6301688-01,home blue-grey,WATERFALL HOME,305,100%pol,13.80,woven railroaded,vert.repeat 0,horiz.repeat 0,0.1330,LB - eurohem
6301625-01,home l.pink,WATERFALL HOME,305,100%pol,13.80,woven railroaded,vert.repeat 0,horiz.repeat 0,0.1330,LB - eurohem
1354670-01,promise off white,WATERFALL PROMISE,300,39pan 29tencel 20pol 12wo,14.50,woven railroaded,vert.repeat 0,horiz.repeat 0,0.1690,LB-eurohem/iron without steam
1354611-01,promise natur,WATERFALL PROMISE,300,39pan 29tencel 20pol 12wo,14.50,woven railroaded,vert.repeat 0,horiz.repeat 0,0.1690,LB-eurohem/iron without steam
1354668-01,promise elephant,WATERFALL PROMISE,300,39pan 29tencel 20pol 12wo,14.50,woven railroaded,vert.repeat 0,horiz.repeat 0,0.1690,LB-eurohem/iron without steam
1354659-01,promise grey-brown,WATERFALL PROMISE,300,39pan 29tencel 20pol 12wo,14.50,woven railroaded,vert.repeat 0,horiz.repeat 0,0.1690,LB-eurohem/iron without steam
1354610-01,promise white,WATERFALL PROMISE,300,39pan 29tencel 20pol 12wo,14.50,woven railroaded,vert.repeat 0,horiz.repeat 0,0.1690,LB-eurohem/iron without steam
1354664-01,promise l.grey,WATERFALL PROMISE,300,39pan 29tencel 20pol 12wo,14.50,woven railroaded,vert.repeat 0,horiz.repeat 0,0.1690,LB-eurohem/iron without steam
1354637-01,promise ice,WATERFALL PROMISE,300,39pan 29tencel 20pol 12wo,14.50,woven railroaded,vert.repeat 0,horiz.repeat 0,0.1690,LB-eurohem/iron without steam
