art_nr,product_name,category,color_finish,net_price_eur,gross_price_eur
"60884","20mm vamzdis 160cm matinio sidabro","Rods","Stainless steel look",4.9,12.838
"60890","20mm vamzdis 200cm matinio sidabro","Rods","Stainless steel look",6.4,16.768
"60896","20mm vamzdis 240cm matinio sidabro","Rods","Stainless steel look",7.7,20.174
"60909","20mm bėgelis-profilis 160cm matinio sidabro","Track profiles","Stainless steel look",9,23.58
"60915","20mm bėgelis-profilis 200cm matinio sidabro","Track profiles","Stainless steel look",11.5,30.13
"60921","20mm bėgelis-profilis 240cm matinio sidabro","Track profiles","Stainless steel look",14.5,37.99
"203007.561","20mm bėgelis-profilis 300cm matinio sidabro","Track profiles","Stainless steel look",19,49.78
"209997.561","20mm bėgelis-profilis 600cm matinio sidabro","Track profiles","Stainless steel look",38,99.56
"64101","20mm laikiklis function 6.5cm matinio sidabro","Brackets","Stainless steel look",5,13.1
"64105","20mm laikiklis function 12cm matinio sidabro","Brackets","Stainless steel look",5.75,15.065
"65540","20mm laikiklio prailginimas function 3.5cm matinio sidabro","Brackets","Stainless steel look",4.25,11.135
"64107","20mm dvigubas laikiklis function 12cm matinio sidabro","Double brackets","Stainless steel look",6.3,16.506
"60957","20mm antgalis cap x2 matinio sidabro","Finials","Stainless steel look",4.5,11.79
"64880","20mm antgalis-kamstukas match x2 matinio sidabro","Finials","Stainless steel look",5.15,13.493
"60985","20mm antgalis ball x2 matinio sidabro","Finials","Stainless steel look",5.8,15.196
"63077","20mm antgalis ball-classic x2 matinio sidabro","Finials","Stainless steel look",7,18.34
"62736","20mm antgalis rillcube x2 matinio sidabro","Finials","Stainless steel look",6,15.72
"61015","20mm šoninis laikiklis matinio sidabro","Side brackets","Stainless steel look",3.7,9.694
"61009","20mm sujungimas vamzdžiui nickel","Rods","Nickel",2,5.24
"61030","20mm segtukai-čiuožikai 10vnt balti","Gliders/Hooks","White",1.5,3.93
"61031","20mm segtukai-čiuožikai 25vnt balti","Gliders/Hooks","White",2.2,5.764
"209601","20mm segtukai-čiuožikai 1vnt","Gliders/Hooks","",0.06,0.1572
"62653","20mm apvalūs žiedai su segtukais Ø40mm x10 matinio sidabro","Gliders/Hooks","Stainless steel look",4.25,11.135
"62658","20mm užuolaidų laikiklis victory 18cm matinio sidabro","Brackets","Stainless steel look",8,20.96
"61029","20mm fiksatorius 4vnt balti","Fixators","White",1.2,3.144
"61034","20mm sujungimas bėgeliui nikelio sp.","Track profiles","Nickel",2,5.24
"207850.561","Kampas Retoure 30x30cm matinio sidabro","Corner pieces","Stainless steel look",19.5,51.09
"207851.63","Kampinė jungtis bėgeliui stabili 90°","Track profiles","",5.5,14.41
"207852.63","Kampinė jungtis bėgeliui lanksti","Track profiles","",6.5,17.03
"65072","Lubiniai laikikliai mini x2 balti","Ceiling brackets","White",5,13.1
"65076","Design lubiniai laikikliai 11mm matinio sidabro","Ceiling brackets","Stainless steel look",6.8,17.816
"60690","20mm lubinis laikiklis 3.5cm matinio sidabro","Ceiling brackets","Stainless steel look",3.15,8.253
"64142","20mm lubinis laikiklis Klassik matinio sidabro","Rods","Stainless steel look",4.7,12.314
"65584","20mm lubinis laikiklis 2 vamzdžiams urban 5cm matinio sidabro","Rods","Stainless steel look",11.5,30.13
"63565","Atitraukimo lazdelė 100cm matinio sidabro","Draw rods","Stainless steel look",4.5,11.79
"63636","Atitraukimo lazdelė 125cm matinio sidabro","Draw rods","Stainless steel look",6,15.72
"62496","Purškiamas silikonas bėgeliui","Track profiles","",2.8,7.336
"203007.584","20mm bėgelis-profilis 300cm matinio aukso","Track profiles","Matte gold",19,49.78
