article,category,width_cm,cut_price_eur,roll_price_eur,notes
"2873 (DISCOUNT)","decoration","300","3.75","3.19","DISCOUNT - available until stock lasts"
"8300","tablecloths/decoration","330","24.13","20.51",""
"37391","decoration","300","15.5","13.18",""
"37824","decoration","320","12.75","10.84",""
"38505","decoration","320","12.75","10.84",""
"54474-54478","tablecloths/decoration","320","26","22.1",""
"74321","decoration","300","24.75","21.04",""
"74745","decoration","300","12.88","10.94",""
"77701","decoration","300","11.63","9.88",""
"78644","decoration","300","12.75","10.84",""
"ACAPULCO","outdoor","280","44.75","35.75",""
"ADELE","decoration","330","29.88","25.39",""
"ADEN","upholstery/decoration","320","20.63","17.53",""
"ADONE – FR","fire-retardant dimout","293/296","29.75","25.29","Fire retardant"
"AFAR","outdoor","280","50.5","40.5",""
"AGAVELINO","decoration","320/325","43.75","37.19",""
"AIDA","upholstery/decoration","280","50.13","42.61",""
"AISHA","upholstery/decoration","290","42.63","36.23",""
"ALASKA","sheer/decoration","300","25.13","21.36",""
"ALBERTA – FR","upholstery/decoration","145","48.38","41.12","Fire retardant"
"ALESSANDRA","upholstery/decoration","295/300","37.38","31.77",""
"ALGAS","upholstery/decoration","280","37.75","30.25",""
"ALI (DISCOUNT)","sheer","300","9.38","7.97","DISCOUNT - available until stock lasts"
"ALICE (DISCOUNT)","decoration","295/300","14.75","12.54","DISCOUNT - available until stock lasts"
"ALLURE","upholstery/decoration","140","73.63","62.58",""
"ALPACINO","upholstery/decoration","280","51.88","44.09",""
"AMANDA","upholstery/decoration","280","19","16.15",""
"AMANDA SHEER","sheer/decoration","300","22.88","19.44",""
"AMBIENTE","upholstery/decoration","140","24.75","21.04",""
"AMELIA","upholstery/decoration","140","33.5","28.48",""
"ANNA","decoration","280","19.75","16.79",""
"ANTILLAS","outdoor","280","44.75","35.75",""
"ANTISLIP FABRIC","antislip lining","280","6.75","5.74",""
"APOLLO (DISCOUNT)","decoration","300","10","8.5","DISCOUNT - available until stock lasts"
"APPLAUSE","upholstery/decoration","140","36","30.6",""
"APPLAUSE PLAIN","upholstery/decoration","140","22.5","19.13",""
"ARIZONA","upholstery/decoration","300","21.25","18.06",""
"ARMANI","upholstery/decoration","280","23.13","19.66",""
"ARMONIA – Q (DISCOUNT)","upholstery/decoration","280","24.5","20.83","DISCOUNT - available until stock lasts"
"ARTICA","outdoor","280","50.5","40.5",""
"ARTICO 1001 – FR","decoration","330","21.25","18.06","Fire retardant"
"ARTICO 2025 – FR","decoration","330","24.5","20.83","Fire retardant"
"ARTOS","decoration","320","19.88","16.89",""
"ASCOT","upholstery/decoration","140","42.75","36.34",""
"ASPEN","decoration","300","33","28.05",""
"ASPENDOS","upholstery/decoration","295","24.38","20.72",""
"ASSOS","decoration","300","11.63","9.88",""
"ATACAMA","outdoor","280","50.5","40.5",""
"ATLAS PLAIN","decoration","330","17.63","14.98",""
"AURORA (DISCOUNT)","tablecloths/decoration","280","6.5","5.53","DISCOUNT - available until stock lasts"
"BACH","upholstery/decoration","140","34.88","29.64",""
"BALI","upholstery/decoration","320","29.88","25.39",""
"BANGKOK","upholstery/decoration","280","37.75","32.09",""
"BARI (DISCOUNT)","tablecloths/decoration","340","17.63","14.98","DISCOUNT - available until stock lasts"
"BATI","decoration","300","36.25","30.81",""
"BEACH","outdoor","280","51.75","41.5",""
"BEETHOVEN","upholstery/decoration","140","34.88","29.64",""
"BEILEYS","upholstery/decoration","140","18.25","15.51",""
"BELICE","outdoor","280","44.75","35.75",""
"BELLINI – FR","decoration","300","Roll only","34.85","Fire retardant"
"BERGAMO","upholstery/decoration","280","29.38","24.97",""
"BIFOSC FR","fire-retardant dimout","300","24.75","21.04","Fire retardant"
"BLACK & WHITE","upholstery/decoration","145","21.13","17.96",""
"BLACK & WHITE II","upholstery/decoration","140","48.5","41.23",""
"BLED","upholstery/decoration","280","17.75","15.09",""
"BONGO","sheer/decoration","320","23.63","20.08",""
"BONTI","upholstery/decoration","280","23","19.55",""
"BORDEAUX","upholstery/decoration","280","37.75","32.09",""
"BOTTICELLI","decoration","305/310","46.38","39.42",""
"BRERA – FR","decoration","335/340","Roll only","15.19","Fire retardant"
"BUNGALOV","sheer/decoration","320","26","22.1",""
"BURSA","upholstery/decoration","315","20.75","17.64",""
"BYRON","upholstery/decoration","280","37.75","32.09",""
"BYRON LISTA","upholstery/decoration","280","37.75","32.09",""
"CAEN","upholstery/decoration","280","24.75","21.04",""
"CALIPSO – FR","decoration","295/300","23.5","19.98","Fire retardant"
"CALPE","upholstery/decoration","280","16.25","13.81",""
"CANVAS","decoration","300","20.38","17.32",""
"CAPITAL","decoration","320","22.5","19.13",""
"CAPTURE (ULTIMA) (DISCOUNT)","upholstery/decoration","142","8.38","7.12","DISCOUNT - available until stock lasts"
"CARLOS","tablecloths/decoration","280","26.5","22.53",""
"CASTO A","upholstery/decoration","280","17.75","15.09",""
"CASTO LACE","decoration","295","22.25","18.91",""
"CAYENNE","upholstery","140","6.75","5.74",""
"CAYOS","outdoor","280","44.75","35.75",""
"CEBU","decoration","280","26.75","22.74",""
"CERCHIO","upholstery/decoration","280","39.75","33.79",""
"CHARLOTTE","upholstery/decoration","280","27.5","23.38",""
"CHARM","decoration","320","20.75","17.64",""
"CHOPIN","upholstery/decoration","140","34.88","29.64",""
"CLASSIC","upholstery/decoration","280","57.13","48.56",""
"CLEANOPAC – FR (0,17,19,22)","blackout","280","30.13","25.61","Fire retardant"
"CLEANOPAC – FR (4,6,8,14,15,20,33,56,87,97)","blackout","280","37.75","32.09","Fire retardant"
"CLEANOPAC – FR (other)","blackout","280","42.13","35.81","Fire retardant"
"COALA","dimout","300","36.88","31.34",""
"COLLINS – FR","dimout","300","Roll only","40.69","Fire retardant"
"COLORADO","outdoor","280","50.5","40.5",""
"COMO – FR (DISCOUNT)","upholstery/decoration","142","11.13","9.46","DISCOUNT - available until stock lasts"
"CONCEPT","upholstery/decoration","280","40.5","34.43",""
"CONTRADA","upholstery/decoration","140","18.88","16.04",""
"CORAL","upholstery/decoration","280","37.75","30.25",""
"CORAL – FR","decoration","305/310","Roll only","23.8","Fire retardant"
"CORFU","sheer/decoration","300","28.38","24.12",""
