article_name,article_type,composition,unit,coupon_price_eur,package_price_eur,category
"7003-6 / 0006","cord","70% mixed fibers, 30% acetate","lm","0.5","0.43","Decorative"
"7003-6F / 790-6F","cord","55% mixed fibers, 25% acetate, 13% viscose, 7% polyester","lm","1","0.85","Decorative"
"7003-8 / 0008","cord","70% mixed fibers, 30% acetate","lm","0.75","0.64","Decorative"
"7003-8F / 790-8F","cord","60% mixed fibers, 23% acetate, 10% viscose, 7% polyester","lm","1.13","0.96","Decorative"
"7004","tape","70% viscose, 28% acetate, 2% nylon","lm","0.63","0.53","Decorative"
"9385","tape/cord","50% viscose, 50% mixed fibers","lm","1","0.85","Cords & Tapes"
"1029T","cord with inset","71% cotton, 18% polyamide, 7% polyester, 4% acrylic","lm","1.75","1.49","Queen Collection"
"2060","rosette","35% polyester, 30% cotton, 20% acrylic, 15% silicon","pc.","5","4.25","Queen Collection"
"2947","bullion","68% acrylic, 32% polyester","lm","9.88","8.39","Queen Collection"
"10232","brush fringe","65% polyester, 35% acrylic","lm","13","11.05","Queen Collection"
"10295","handtied tassel fringe","75% polyester, 19% acrylic, 6% cotton","lm","20.25","17.21","Queen Collection"
"10315","fringe","69% polyester, 30% acetate, 1% polyamide","lm","9.88","8.39","Queen Collection"
"10438","fringe with 3 beads","65% plastic, 25% polyester, 10% cotton","lm","23.38","19.87","Queen Collection"
"10471","fringe with beads","76% plastic, 15% polyester, 5% cotton, 4% acrylic","lm","16.75","14.24","Queen Collection"
"10827","pom pom fringe","80% acrylic, 20% polyester","lm","15.75","13.39","Queen Collection"
"10900","braid","70% polyester, 20% acrylic, 10% cotton","lm","1.38","1.17","Queen Collection"
"11350-0","key tassel","87% polyester, 11% cotton, 1% plastic, 1% polyamide","pc.","7.88","6.69","Queen Collection"
"11657-0","key tassel","84% polyester, 16% plastic","pc.","7.38","6.27","Queen Collection"
"11745-1","tassel fringe","54% polyester, 30% cotton, 16% plastic","pc.","24.88","21.14","Queen Collection"
"20078","fringe","98% polyester, 2% polyamide","lm","20.75","17.64","Queen Collection"
"70001-70043","Elegante tape","100% polyester","lm","5","4.25","Decorative"
"90001-90043","Elegante tape","100% polyester","lm","5.88","4.99","Decorative"
"Luxury Velvet (B01,03,05,12,15,16,17,18)","Luxury Velvet tape","100% polyester","lm","26.25","22.31","Decorative"
"Luxury Velvet (B08,B09,B13)","Luxury Velvet tape","100% polyester","lm","15.75","13.39","Decorative"
"Luxury Velvet (B10,B11)","Luxury Velvet tape","100% polyester","lm","17.38","14.77","Decorative"
"Crystal 3015-10mm","Swarovski button","","pc.","1.25","","Crystal Buttons"
"Crystal 3015-12mm","Swarovski button","","pc.","1.88","","Crystal Buttons"
"Crystal 3015-14mm","Swarovski button","","pc.","2.5","","Crystal Buttons"
"Crystal 3015-16mm","Swarovski button","","pc.","3","","Crystal Buttons"
"Crystal 3015-18mm","Swarovski button","","pc.","4.5","","Crystal Buttons"
"Crystal 3015-23mm","Swarovski button","","pc.","6","","Crystal Buttons"
"Crystal 3015-27mm","Swarovski button","","pc.","6.25","","Crystal Buttons"
"223967MHP 15mm","Roman and Austrian Blind Tape","","pkg 100m","","0.31","Curtain Tapes"
"223210MH 19mm","Roman Blind Tape","","pkg 100m","","0.24","Curtain Tapes"
"223973MP 50mm (1:2)","Smock Pleats","","pkg 50m","","0.37","Curtain Tapes"
"223941MP-3 60mm (1:1.5)","Pencil Pleats","","pkg 50m","","0.55","Curtain Tapes"
"223947MP-3 60mm (1:2)","Pencil Pleats","","pkg 50m","","0.55","Curtain Tapes"
"223861MP 65mm (1:2.5)","Smock Pleats","","pkg 50m","","0.61","Curtain Tapes"
"223960MP 65mm (1:2)","Pencil Pleats","","pkg 50m","","0.61","Curtain Tapes"
"223799M 70mm","Wave system Tape","","pkg 50m","","0.67","Curtain Tapes"
"223951MP 80mm (1:2)","Pencil Pleats","","pkg 50m","","0.67","Curtain Tapes"
"223948MP 80mm (1:2)","Pencil Pleats","","pkg 50m","","0.79","Curtain Tapes"
"223910MP 100mm (1:2)","Smock Pleats (Strappings)","","pkg 50m","","0.85","Curtain Tapes"
"223969MP 100mm (1:2)","Creative Pleats","","pkg 50m","","0.85","Curtain Tapes"
"223609MP 100mm","Seam and Stiffening Tape","","pkg 50m","","0.55","Curtain Tapes"
"223744M 100mm","Slide on Tapes (Strappings)","","pkg 50m","","0.61","Curtain Tapes"
"221000MP 100mm","Strappings","","pkg 50m","","1.28","Curtain Tapes"
"223950MP 100mm (1:2)","Pinch Pleats","","pkg 50m","","0.85","Curtain Tapes"
"224202MP 100mm (1:2.5)","Pencil Pleats","","pkg 50m","","0.85","Curtain Tapes"
"223679MP 100mm (1:2)","Pencil Pleats","","pkg 50m","","0.79","Curtain Tapes"
"223962MP 100mm (1:2)","Pencil Pleats","","pkg 50m","","0.85","Curtain Tapes"
"222898M 100mm (1:3)","Smock Pleats","","pkg 50m","","0.73","Curtain Tapes"
"22BK-005 100mm (1:2)","Wave Tape","","pkg 50m","","1.22","Curtain Tapes"
"22BK-006 100mm (1:1.5)","Wave Tape","","pkg 50m","","1.22","Curtain Tapes"
"223965MP 100mm (1:2)","Goblet Pleats","","pkg 50m","","0.92","Curtain Tapes"
"224080MP 150mm (1:2)","Goblet Pleats","","pkg 50m","","1.22","Curtain Tapes"
"224141MP 150mm (1:2.5)","Nest Pleats","","pkg 50m","","1.22","Curtain Tapes"
"224082MP 150mm (1:2)","Pencil Pleats","","pkg 50m","","1.22","Curtain Tapes"
"224087MP 150mm (1:2)","Smock Pleats","","pkg 50m","","1.22","Curtain Tapes"
"224081MP 200mm (1:2)","Pencil Pleats","","pkg 50m","","1.77","Curtain Tapes"
"224086MP 200mm (1:2)","Box Pleats (flex)","","pkg 50m","","1.77","Curtain Tapes"
"223949MP 20mm","Roman blind Pleats","","pkg 100m","","0.49","Curtain Tapes"
"223970MP 40mm (1:2)","Pencil Pleats","","pkg 50m","","0.49","Curtain Tapes"
"223971MP 50mm (1:2)","Pencil Pleats","","pkg 50m","","0.55","Curtain Tapes"
"223972MP 60mm (1:2)","Smock Pleats","","pkg 50m","","0.67","Curtain Tapes"
"224357MP 80mm (1:2.5)","Box Pleats","","pkg 50m","","0.79","Curtain Tapes"
"Koronka-1 (1.5cm) ecru","Lace Trim","100% polyester","mb","1.25","1.06","Lace Trims"
"Koronka-1 (1.5cm) zlota","Lace Trim","100% polyester","mb","1.38","1.17","Lace Trims"
"Koronka-2 (1.5cm) ecru","Lace Trim","100% polyester","mb","1.25","1.06","Lace Trims"
"Koronka-2 (1.5cm) zlota","Lace Trim","100% polyester","mb","1.38","1.17","Lace Trims"
"Koronka-3 (9cm) ecru","Lace Trim","100% polyester","mb","4.38","3.72","Lace Trims"
"Koronka-3 (9cm) zlota","Lace Trim","100% polyester","mb","4.75","4.04","Lace Trims"
"Koronka-4 (10cm) ecru","Lace Trim","100% polyester","mb","3","2.55","Lace Trims"
"Koronka-4 (10cm) zlota","Lace Trim","100% polyester","mb","3.25","2.76","Lace Trims"
"Koronka-5 (10cm) ecru","Lace Trim","100% polyester","mb","3","2.55","Lace Trims"
"Koronka-5 (10cm) zlota","Lace Trim","100% polyester","mb","3.25","2.76","Lace Trims"
"Koronka-6 (11cm) ecru","Lace Trim","100% polyester","mb","4.63","3.93","Lace Trims"
"Koronka-6 (11cm) zlota","Lace Trim","100% polyester","mb","5.25","4.46","Lace Trims"
"Koronka-7 (12cm) ecru","Lace Trim","100% polyester","mb","4.38","3.72","Lace Trims"
"Koronka-7 (12cm) zlota","Lace Trim","100% polyester","mb","4.75","4.04","Lace Trims"
"Koronka-8 (13cm) ecru","Lace Trim","100% polyester","mb","3.5","2.98","Lace Trims"
"Koronka-8 (13cm) zlota","Lace Trim","100% polyester","mb","3.88","3.29","Lace Trims"
"Koronka-9 (14cm) ecru","Lace Trim","100% polyester","mb","5","4.25","Lace Trims"
"Koronka-9 (14cm) zlota","Lace Trim","100% polyester","mb","5.5","4.68","Lace Trims"
"Koronka-10 (16cm) ecru","Lace Trim","100% polyester","mb","5","4.25","Lace Trims"
"Koronka-10 (16cm) zlota","Lace Trim","100% polyester","mb","5.5","4.68","Lace Trims"
"Koronka-11 (22cm) ecru","Lace Trim","100% polyester","mb","9.63","8.18","Lace Trims"
"Koronka-11 (22cm) zlota","Lace Trim","100% polyester","mb","11.13","9.46","Lace Trims"
"Koronka-12 (25cm) ecru","Lace Trim","100% polyester","mb","10.13","8.61","Lace Trims"
"Koronka-12 (25cm) zlota","Lace Trim","100% polyester","mb","10.88","9.24","Lace Trims"
