Supplier,Product Name,Category,Width (cm),Composition,Weight (g/m2),Martindale,Fire Rating,Remarks/Finish,Price - Cut Length (EUR/m),Price - Roll (EUR/m),Price - 250m+ (EUR/m),Price - 500m+ (EUR/m)
DABEDAN,BERNIA LONETA,Multipurpose C1,300,Pes FR,210,,C1 - Fire Retardant,Loneta,15.51,12.61,11.53,10.07
DABEDAN,BORA OTOMAN,Multipurpose C1,300,Pes FR,280,,C1 - Fire Retardant,Otoman,20.81,16.92,14.43,13.31
DABEDAN,GUAM SARGA,Multipurpose C1,290,Pes FR,230,,C1 - Fire Retardant,Sarga,18.4,14.96,12.68,11.45
DABEDAN,GREGAL CHENILLA,Multipurpose C1,295,Pes FR,340,,C1 - Fire Retardant,Chenilla,27.44,22.87,20.52,19.35
DABEDAN,RONDA DOS SARGA,Multipurpose C1,300,Pes FR,255,,C1 - Fire Retardant,Sarga,17.15,13.94,12.66,11.48
DABEDAN,SABA 01 WHITE,Multipurpose C1,300,Pes FR,130,,C1 - Fire Retardant,No cut length available,,8.41,7.75,6.65
DABEDAN,SABA 02 BLACK,Multipurpose C1,290,Pes FR,130,,C1 - Fire Retardant,No cut length available,,10.49,9.56,7.92
DABEDAN,TAFETTA,Multipurpose C1,290,Pes FR,195,,C1 - Fire Retardant,,15.39,12.51,11.2,9.99
DABEDAN,A3D ACOUSTIC,Multipurpose C1,142,Pes FR,1100,,C1 - Fire Retardant,Acoustic panel,36.37,29.57,27.23,25.29
DABEDAN,DABOPAC WHITE/BEIGE/07,Black Out / Dim Out C1,280,Pes-Acrylic,310,,C1 - Fire Retardant,Dimout,15.89,11.35,9.97,9.18
DABEDAN,DABOPAC FR 03 05 09,Black Out / Dim Out C1,280,Pes-Acrylic,310,,C1 - Fire Retardant,"Dimout, while stocks last",16.69,11.92,10.43,9.94
DABEDAN,TAPALUZ CLASSIC,Black Out / Dim Out C1,295,Pes FR,250,,C1 - Fire Retardant,Dimout,16.3,11.6,11.18,9.91
DABEDAN,TAPALUZ CLASSIC GRS RECYCLED,Black Out / Dim Out C1,295,Pes FR,250,,C1 - Fire Retardant,"Dimout, GRS Recycled",,,15.6,13.84
DABEDAN,TAPALUZ DC,Black Out / Dim Out C1,295,Pes FR,320,,C1 - Fire Retardant,Dimout,23.79,18.09,16.89,14.81
DABEDAN,TAPALUZ ML,Black Out / Dim Out C1,295,Pes FR,325,,C1 - Fire Retardant,"Dimout, 100% textile, washable",24.21,18.41,17.29,14.83
DABEDAN,TAPALUZ SD,Black Out / Dim Out C1,295,Pes FR,340,,C1 - Fire Retardant,"Dimout, on request",25.45,19.35,17.89,16.1
DABEDAN,TAPALUZ PM,Black Out / Dim Out C1,295,Pes FR,320,,C1 - Fire Retardant,"Dimout, 100% textile, washable",24.47,18.61,17.15,15.2
DABEDAN,TAPALUZ TP,Black Out / Dim Out C1,295,Pes FR,340,,C1 - Fire Retardant,"Dimout, 100% textile, washable",24.1,18.33,16.71,14.68
DABEDAN,TAPALUZ TH,Black Out / Dim Out C1,300,Pes FR,320,,C1 - Fire Retardant,"Dimout, 100% textile, washable",25.43,19.34,17.93,15.49
DABEDAN,TAPCRETA/GARBI/HELIOS,Black Out / Dim Out C1,300,Pes FR,320,,C1 - Fire Retardant,"Dimout, higher opacity, washable",26.94,20.49,18.61,16
DABEDAN,ESCENA WHITE,Black Out / Dim Out C1,300,100% Cotton,305,,Non-permanent FR,"Scenography only, not washable",,11.99,11.09,8.97
DABEDAN,ESCENA BLACK,Black Out / Dim Out C1,300,100% Cotton,305,,Non-permanent FR,"Scenography only, not washable",,13.02,11.97,9.44
DABEDAN,RENO,Velvets C1,145,40% Trevira 60% Pes,380,,C1 - Fire Retardant,Velvet,25.23,18.69,16.26,15.59
DABEDAN,NIZA,Velvets C1,142,62% Trevira 38% Pes,500,,C1 - Fire Retardant,Velvet,29.51,21.86,20.28,18.69
DABEDAN,ROMA,Velvets C1,142,48% Trevira 52% Pes,450,,C1 - Fire Retardant,Velvet,28.16,20.86,18.45,17.74
